title,speaker,date,sermonUrl
Do You Realize Who You’re Talking To?,Barry Gin,2013-10-13,//35.190.93.184/sermons/20131013_sunday_pastor_barry_do_you_realize_who_youre_talking_to.mp3
Face Your Storms With Faith,Barry Gin,2013-10-06,//35.190.93.184/sermons/20131006_pastor_barry_face_your_storms_with_faith.mp3
So?,Hoover Wong,2013-09-29,//35.190.93.184/sermons/20130929_sunday_dr_hoover_wong_so.mp3
Characteristics of Christian Community,Barry Gin,2013-09-22,//35.190.93.184/sermons/20130922_sunday_pastor_barry_characteristics_of_christian_community.mp3
Where To Look While You Wait,Barry Gin,2013-09-15,//35.190.93.184/sermons/20130915_sunday_pastor_barry_patience_where_to_look_while_you_wait.mp3
Be Careful What You’re Rich For,Barry Gin,2013-09-08,//35.190.93.184/sermons/20130908_sunday_pastor_barry_gin_be_careful_what_youre_rich_for.mp3
The Intent of Offering,Josh Lin,2013-08-25,//35.190.93.184/sermons/20130825_sunday_josh_lin_intent_of_offering.mp3
"Wrestling With Grace (Summer Retreat 2013, Session 1)",KJ Kim,2013-08-08,//35.190.93.184/sermons/20130808_thursday_kj_kim_wrestling_with_grace.mp3
"The Kingdom Treasure (Summer Retreat 2013, Session 2)",KJ Kim,2013-08-09,//35.190.93.184/sermons/20130809_friday_kj_kim_1_the_kingdom_treasure.mp3
"Don’t Waste Your Life (Summer Retreat 2013, Session 3)",KJ Kim,2013-08-09,//35.190.93.184/sermons/20130809_friday_kj_kim_2_dont_waste_your_life.mp3
"The Ripple Effect (Summer Retreat 2013, Session 4)",KJ Kim,2013-08-10,//35.190.93.184/sermons/20130810_kj_kim_1_the_ripple_effect.mp3
"Persevering In The Gospel (Summer Retreat 2013, Session 5)",KJ Kim,2013-08-10,//35.190.93.184/sermons/20130810_kj_kim_2_persevering_in_the_gospel.mp3
"A Walk To Remember (Summer Retreat 2013, Session 6)",KJ Kim,2013-08-11,//35.190.93.184/sermons/20130811_kj_kim_a_walk_to_remember.mp3
You Must Be Born Again,Damian Lay,2013-07-28,//35.190.93.184/sermons/20130728_damian_lay_you_must_be_born_again.mp3
Whose Side Are You On?,Barry Gin,2013-07-21,//35.190.93.184/sermons/20130721_sunday_barry_gin_whose_side_are_you_on.mp3
Does Your Faith Work?,Barry Gin,2013-06-23,//35.190.93.184/sermons/20130623_sunday_barry_gin_does_your_faith_work.mp3
Do You See What God Sees?,Barry Gin,2013-06-16,//35.190.93.184/sermons/20130616_sunday_barry_gin_do_you_see_what_god_sees.mp3
The Truth About Righteousness,Barry Gin,2013-06-09,//35.190.93.184/sermons/20130609_sunday_barry_gin_the_truth_about_righteousness.mp3
Seek The Best Blessings,Barry Gin,2013-05-26,//35.190.93.184/sermons/20130526_sunday_barry_gin_seek_the_best_blessings.mp3
Get A Handle On Your Trials,Barry Gin,2013-05-19,//35.190.93.184/sermons/20130519_sunday_barry_gin_get_a_handle_on_your_trials.mp3
How Do You See God,Barry Gin,2013-04-14,//35.190.93.184/sermons/20130414_sunday_barry_gin_how_do_you_see_god.mp3
It Takes One To Make One,Barry Gin,2013-04-07,//35.190.93.184/sermons/20130407_sunday_barry_gin_it_takes_one_to_make_one.mp3
That Upon Which Christianity Stands Or Falls,Barry Gin,2013-03-31,//35.190.93.184/sermons/20130331_sunday_barry_gin_that_upon_which_christianity_stands_or_falls.mp3
Disciplemaker Or Disciplefaker,Barry Gin,2013-03-24,//35.190.93.184/sermons/20130324_sunday_barry_gin_disciplemaker_or_disciplefaker.mp3
An Honor And Calling From God,Barry Gin,2013-03-10,//35.190.93.184/sermons/20130310_sunday_barry_gin_an_honor_and_calling_from_god.mp3
Follow The Spirit’s Lead,Greg Lee,2013-01-27,//35.190.93.184/sermons/20130127_dr_greg_lee_following_the_spirits_lead.mp3
Value His Word,Barry Gin,2013-01-20,//35.190.93.184/sermons/20130120_sunday_barry_gin_value_his_word.mp3
Are You The Real Thing,Barry Gin,2013-01-13,//35.190.93.184/sermons/20130113_sunday_barry_gin_are_you_the_real_thing.mp3
Passionate Witness By God’s People,Damian Lay,2012-12-23,//35.190.93.184/sermons/20121223_sunday_damian_lay_passionate_witness_by_gods_people.mp3
Christmiss,Tony Chon,2012-12-02,//35.190.93.184/sermons/20121202_sunday_tony_chon_christmiss.mp3
This Life Matters,Vincent Bacote,2012-11-11,//35.190.93.184/sermons/20121111_dr_vincent_bacote_this_life_matters.mp3
Born Identity,Tony Chon,2012-11-04,//35.190.93.184/sermons/20121104_sunday_tony_chon_born_identity.mp3
The Worst Judge Of All,Jin Lee,2012-10-28,//35.190.93.184/sermons/20121028_sunday_jin_lee_the_worst_judge_of_all.mp3
Faith-ing Our Fears,Jalon Chan,2012-10-21,//35.190.93.184/sermons/20121021_sunday_jalon_chan_faith-ing_our_fears.mp3
Radical Repentance (part 2 of 2),Jin Lee,2012-09-30,//35.190.93.184/sermons/20120930_sunday_jin_lee_radical_repentance_part2.mp3
Radical Repentance (part 1 of 2),Jin Lee,2012-09-23,//35.190.93.184/sermons/20120924_sunday_jin_lee_radical_repentance_part1.mp3
